Raw_Name,Standardized_Name,Intercompany,Supplier_Type,Location
CEBALLOS MATEO,Ceballos Mateo,N,Individual,USA
CENTRAL BREAKER AND CONTROL,Central Breaker & Control,N,Distributor,USA
418 CENTRAL BREAKER & CONTROL LLC,Central Breaker & Control,N,Distributor,USA
CENTRAL SANDBLASTING CO,Central Sandblasting,N,Service Provider,USA
CENTRAL STEEL AND WIRE COMPANY,Central Steel & Wire,N,Distributor,USA
CENTRAL VALLEY ELECTRIC SUPPLY,Central Valley Electric Supply,N,Distributor,USA
CG HILL AND SONS INC,CG Hill & Sons,N,Service Provider,USA
CHAD EDWARD WAYSON,Chad Edward Wayson,N,Individual,USA
CHAD GIBSON,Chad Gibson,N,Individual,USA
CHAMPAGNE METALS LLC,Champagne Metals,N,Distributor,USA
"CHAMPAGNE METALS, LLC",Champagne Metals,N,Distributor,USA
Changepond Technologies Private Limited,Changepond Technologies Private,N,Service Provider,India
"1204 CHARLES A. KLEIN & SONS, INC",Charles A. Klein & Sons,N,Service Provider,USA
CHARLIE MILLER,Charlie Miller,N,Individual,USA
CHARTER CONTACT & SUPPLY LLC,Charter Contact & Supply,N,Distributor,USA
804 CHARTER STREET ASSOCIATES LLC,Charter Street Associates,N,Service Provider,USA
CHASE CARD SERVICES,Chase Card Services,N,Service Provider,USA
CHEMICAL MARKETING CORPORATION,Chemical Marketing,N,Distributor,USA
CHEMICOAT CHEMICAL COATINGS LLC,Chemicoat Chemical Coatings,N,Manufacturer,USA
767 CHESAPEAKE ELECTRIC/ CHESAPEAKE ENERGY SOLUTIONS,Chesapeake Electric,N,Service Provider,USA
636 CHESAPEAKE ELECTRICAL SUPPLY LLC,Chesapeake Electrical Supply,N,Distributor,USA
423 CHESAPEAKE ELECTRICAL SYSTEMS,Chesapeake Electrical Systems,N,Service Provider,USA
"Chesapeake Mission Critical, L.L.C.",Chesapeake Mission Critical,N,Service Provider,USA
Chesapeake Sprinkler Company,Chesapeake Sprinkler,N,Service Provider,USA
832 CHESAPEAKE SYSTEMS LLC,Chesapeake Systems,N,Service Provider,USA
687 CHEVY CHASE CLUB,Chevy Chase Club,N,Service Provider,USA
Chicago Precision Manufacturing,Chicago Precision Manufacturing,N,Manufacturer,USA
CHRIS APHRAIM,Chris Aphraim,N,Individual,USA
CHRIS BURCH,Chris Burch,N,Individual,USA
CHRIS GEANEAS,Chris Geaneas,N,Individual,USA
CHRIS SANDERS,Chris Sanders,N,Individual,USA
CHRIS SMITH,Chris Smith,N,Individual,USA
CHRISTOPHER BAGGAN,Christopher Baggan,N,Individual,USA
CHRISTOPHER BORITZ,Christopher Boritz,N,Individual,USA
CHRISTOPHER J STEELE SR,Christopher J Steele Sr,N,Individual,USA
CHUCK CHOKSKI,Chuck Chokski,N,Individual,USA
Cintas,Cintas,N,Service Provider,USA
Cintas Fire,Cintas Fire,N,Service Provider,USA
CIRCUIT BREAKER CITY,Circuit Breaker City,N,Distributor,USA
CIRCUIT BREAKER GUYS,Circuit Breaker Guys,N,Service Provider,USA
CIRCUIT BREAKER SALES NE INC,Circuit Breaker Sales NE,N,Distributor,USA
CITI CARDS,Citi Cards,N,Service Provider,USA
CITIMARINE,Citimarine,N,Distributor,USA
638:4 CITY ELECTRIC SUPPLY : CITY ELECTRIC SUPPLY-RICHMOND NORTH,City Electric Supply,N,Distributor,USA
638:2 CITY ELECTRIC SUPPLY : CITY ELECTRIC SUPPLY-BALTIMORE SOUTH,City Electric Supply,N,Distributor,USA
638:5 CITY ELECTRIC SUPPLY : CITY ELECTRIC SUPPLY - DULLES VA,City Electric Supply,N,Distributor,USA
638:15 CITY ELECTRIC SUPPLY : CITY ELECTRIC SUPPLY NORFOLK CENTRAL,City Electric Supply,N,Distributor,USA
638:10 CITY ELECTRIC SUPPLY : CITY ELECTRIC SUPPLY-CAPITOL HEIGHTS,City Electric Supply,N,Distributor,USA
638:3 CITY ELECTRIC SUPPLY : CITY ELECTRIC SUPPLY-VIRGINIA BEACH,City Electric Supply,N,Distributor,USA
638:13 CITY ELECTRIC SUPPLY : CITY ELECTRIC SUPPLY :   MANASSAS,City Electric Supply,N,Distributor,USA
424 CITY GENERAL INC,City General,N,Service Provider,USA
Clark Machine Corporation,Clark Machine,N,Manufacturer,USA
CLARK TESTING,Clark Testing Services,N,Service Provider,USA
CLASS C COMPONENTS INC,Class C Components,N,Distributor,USA
CLAYTON T WATTS,Clayton T Watts,N,Individual,USA
CLIMATE MAKERS INC,Climate Makers,N,Service Provider,USA
425 CLINTON ELECTRIC CO INC,Clinton Electric,N,Service Provider,USA
426 CMI LIGHTING,CMI Lighting,N,Service Provider,USA
CNJ SURPLUS,CNJ Surplus,N,Distributor,USA
coast to coast breaker,Coast to Coast Breaker,N,Distributor,USA
COASTSIDE CIRCUIT BREAKERS,Coastside Circuit Breakers,N,Distributor,USA
"CET - COATING EQUIPMENT TECHNOLOGY, INC",Coating Equipment Technology,N,Manufacturer,USA
COFFMAN ENGINEERS INC,Coffman Engineers,N,Service Provider,USA
COFLEX,Coflex,N,Manufacturer,France
COHERENT CORP,Coherent,N,Manufacturer,USA
"COLE ROOFING CO., INC.",Cole Roofing,N,Service Provider,USA
427 COLONIAL ELECTRIC CO INC,Colonial Electric,N,Service Provider,USA
COLUMBIA COATINGS,Columbia Coatings,N,Manufacturer,USA
ComAp LLC,ComAp,N,Manufacturer,Czech Republic
ComAp,ComAp,N,Manufacturer,Czech Republic
COMMERCE LABEL INC,Commerce Label,N,Manufacturer,USA
Commercial Filter Company LLC,Commercial Filter Company,N,Distributor,USA
COMPASS GROUP NAD,Compass Group NAD,N,Service Provider,UK
430 COMPLETE BUILDING SYSTEMS,Complete Building Systems,N,Service Provider,USA
Comprehensive Supply Company,Comprehensive Supply Company,N,Distributor,USA
CONCEPTS INDUSTRIAL,Concepts Industrial,N,Distributor,USA
CONNECTICUT ELECTRIC,Connecticut Electric,N,Manufacturer,USA
CONNECTOR MANUFACTURING COMPANY,Connector Manufacturing,N,Manufacturer,USA
CONNECTORS AND CABLE SPECIALTIES,Connectors and Cable Specialties,N,Manufacturer,USA
1065 CONSTRUCTION INNOVATIONS,Construction Innovations,N,Manufacturer,USA
1226 CONSTRUCTION MANAGEMENT & BUILDERS,Construction Management & Builders,N,Service Provider,USA
CONTACT POWER INC,Contact Power,N,Service Provider,USA
713 CONTEMPORARY ELECTRIC,Contemporary Electric,N,Service Provider,USA
"786 CONTINENTAL ELECTRIC, LLC",Continental Electric,N,Service Provider,USA
CONTROL COMPONENTS,Control Components,N,Distributor,USA
CONTROL PANEL SUPPLY,Control Panel Supply,N,Distributor,USA
CONTROL PARTS,Control Parts,N,Distributor,USA
CONTROL SWITCHES INTERNATIONAL INC,Control Switches International,N,Manufacturer,USA
Conveyer & Caster,Conveyer & Caster,N,Distributor,USA
"COOPER BUSSMANN, LLC",Cooper Bussmann,N,Manufacturer,USA
COOPER POWER SYSTEMS LLC,Cooper Power Systems,N,Manufacturer,USA
THYSSENKRUPP - COPPER AND BRASS SALES,Copper & Brass Sales,N,Distributor,USA
CORAL CHEMICAL COMPANY,Coral Chemical,N,Manufacturer,USA
CORDELL WILSON,Cordell Wilson,N,Individual,USA
COREMARK METALS/DISCOUNT STEEL INC,Coremark Metals,N,Distributor,USA
433 COUNTER SALE,Counter Sale,N,Distributor,Unknown
Covington Machine & Welding Inc.,Covington Machine & Welding,N,Service Provider,USA
COWTOWN BREAKERS,Cowtown Breakers,N,Distributor,USA
"COYOTE LOGISTICS, LLC",Coyote Logistics,N,Service Provider,USA
CREATIVE SAFETY SUPPLY LLC,Creative Safety Supply,N,Distributor,USA
CRESCENT ELECTRIC SUPPLY CO,Crescent Electric Supply,N,Distributor,USA
CRIMP SUPPLY INC,Crimp Supply,N,Distributor,USA
CRITICAL COMPONENTS INC,Critical Components,N,Distributor,USA
702 CRITICAL PEAKE SERVICES,Critical Peake Services,N,Service Provider,USA
Critical Power Sales,Critical Power Sales,N,Distributor,USA
Cross Check Torque Sealant,Cross Check Torque Sealant,N,Manufacturer,USA
Crosslink Paints,Crosslink Paints,N,Manufacturer,USA
CSC,CSC,N,Service Provider,USA
CUBES2U LLC,Cubes2U,N,Manufacturer,USA
CULLIGAN WATER,Culligan Water,N,Service Provider,USA
Cummins Inc,Cummins,N,Manufacturer,USA
CUMMINS SALES AND SERVICE,Cummins Sales and Service,N,Service Provider,USA
436 CURRENT ELECTRICAL SERVICES,Current Electrical Services,N,Service Provider,USA
CustomInk,Custom Ink,N,Manufacturer,USA
CUSTOM SOLUTIONS MANUFACTURING LLC,Custom Solutions Manufacturing,N,Manufacturer,USA
"DAD's Discount Appliance Distributors, Inc.",DAD's Discount Appliance Distributors,N,Distributor,USA
DAEDEX / MAS HVAC,Daedex / MAS HVAC,N,Manufacturer,USA
DAKOTA ELECTRIC INC,Dakota Electric,N,Service Provider,USA
782 DALLIS ELECTRICAL SERVICES,Dallis Electrical Services,N,Service Provider,USA
DAN LUCKOW ELECTRIC INC,Dan Luckow Electric,N,Distributor,USA
DAN PETERS,Dan Peters,N,Individual,USA
DANIEL ELLIOTT,Daniel Elliott,N,Individual,USA
DAREK PLACEK,Darek Placek,N,Individual,USA
DATA CENTER SYSTEMS INC,Data Center Systems,N,Manufacturer,USA
Datacomm Cables Inc.,Datacomm Cables,N,Manufacturer,USA
DAVE  LESSNER,Dave Lessner,N,Individual,USA
DAVE PLACEK,Dave Placek,N,Individual,USA
DAVES INDUSTRIAL SURPLUS LLC,Daves Industrial Surplus,N,Distributor,USA
DAVID A WILLIAMS,David A Williams,N,Individual,USA
DAVID HOTT,David Hott,N,Individual,USA
DAVID JONES,David Jones,N,Individual,USA
DAVID JOSEPH HOTT,David Joseph Hott,N,Individual,USA
DAVID THOMPSON,David Thompson,N,Individual,USA
STEVENS J DAVID WAYNE,David Wayne Stevens,N,Individual,USA
DAVID WORTHY,David Worthy,N,Individual,USA
DAVIDSON SALES COMPANY,Davidson Sales,N,Distributor,USA
442 DAWSON ELECTRIC,Dawson Electric,N,Service Provider,USA
DB ROBERTS,DB Roberts,N,Distributor,USA
DB Roberts,DB Roberts,N,Distributor,USA
444 DECA ELECTRICAL CONTRACTORS,Deca Electrical Contractors,N,Service Provider,USA
Decals.com,Decals.com,N,Manufacturer,USA
DEEP SEA ELECTRONICS INC,Deep Sea Electronics,N,Manufacturer,United Kingdom
DEHN INC,DEHN,N,Manufacturer,Germany
DEJOHNS ELECTRICAL SALES INC,Dejohns Electrical Sales,N,Distributor,USA
DELL,Dell,N,Manufacturer,USA
DENNIS BARRY,Dennis Barry,N,Individual,USA
DENT INSTRUMENTS INC,Dent Instruments,N,Manufacturer,USA
DENVER BREAKERS AND SUPPLY,Denver Breakers & Supply,N,Distributor,USA
DEREK PLACEK,Derek Placek,N,Individual,USA
DERRICK BROOKS,Derrick Brooks,N,Individual,USA
"Design Glazing Concepts, LLC",Design Glazing Concepts,N,Service Provider,USA
DEVRECO,Devreco,N,Service Provider,USA
"DFM Development Services, LLC",DFM Development Services,N,Service Provider,USA
DHR Products LLC,DHR Products,N,Manufacturer,USA
DIAMOND VOGEL INC,Diamond Vogel Paint,N,Manufacturer,USA
DIGI-KEY,Digi-Key,N,Distributor,USA
DIGI-KEY ELECTRONICS,Digi-Key Electronics,N,Distributor,USA
DISCOUNT STEEL INC,Discount Steel,N,Distributor,USA
Dispatch,Dispatch,N,Service Provider,USA
DOBLE ENGINEERING,Doble Engineering,N,Manufacturer,USA
"641 DOMINION ELECTRIC SUPPLY, A DIVISION OF BORDER STATES",Dominion Electric Supply,N,Distributor,USA
"641:3 DOMINION ELECTRIC SUPPLY, A DIVISION OF BORDER STATES : DOMINION ELECTRIC - CHANTILLY",Dominion Electric Supply,N,Distributor,USA
"641:1 DOMINION ELECTRIC SUPPLY, A DIVISION OF BORDER STATES : DOMINION ELECTRIC - ARLINGTON",Dominion Electric Supply,N,Distributor,USA
"641:9 DOMINION ELECTRIC SUPPLY, A DIVISION OF BORDER STATES : DOMINION ELECTRIC SUPPLY :  ALEXANDRIA",Dominion Electric Supply,N,Distributor,USA
"641:7 DOMINION ELECTRIC SUPPLY, A DIVISION OF BORDER STATES : DOMINION ELECTRIC - ESSEX",Dominion Electric Supply,N,Distributor,USA
"641:4 DOMINION ELECTRIC SUPPLY, A DIVISION OF BORDER STATES : DOMINION ELECTRIC - LAUREL",Dominion Electric Supply,N,Distributor,USA
"641:8 DOMINION ELECTRIC SUPPLY, A DIVISION OF BORDER STATES : DOMINION ELECTRIC SUPPLY : ASHBURN",Dominion Electric Supply,N,Distributor,USA
"641:10 DOMINION ELECTRIC SUPPLY, A DIVISION OF BORDER STATES : DOMINION ELECTRIC - CURTIS BAY",Dominion Electric Supply,N,Distributor,USA
"641:6 DOMINION ELECTRIC SUPPLY, A DIVISION OF BORDER STATES : DOMINION ELECTRIC OF WASHINGTON DC LLC",Dominion Electric Supply,N,Distributor,USA
Dominion Electric Supply,Dominion Electric Supply,N,Distributor,USA
DON TURANSKY,Don Turansky,N,Individual,USA
DONALD ALVIN WILLIS JR,Donald Alvin Willis Jr,N,Individual,USA
Donald J Callahan,Donald J Callahan,N,Individual,USA
DOVELL SYSTEMS,Dovell Systems,N,Service Provider,USA
DOWNEY BREAKERS,Downey Breakers,N,Distributor,USA
"Drive, Inc.",Drive,N,Manufacturer,USA
Driven Creations,Driven Creations,N,Service Provider,USA
DRUMMOND INDUSTRIES,Drummond Industries,N,Manufacturer,USA
DS PIPE AND STEEL,DS Pipe & Steel,N,Distributor,USA
DU-CO Ceramics Company,Du-Co Ceramics,N,Manufacturer,USA
642 DULLES ELECTRIC SUPPLY CO,Dulles Electric Supply,N,Distributor,USA
DULLES ELECTRIC SUPPLY,Dulles Electric Supply,N,Distributor,USA
450 Dummy Customer,Dummy Customer,N,Service Provider,Unknown
"Durrett Sheppard Steel Co., Inc",Durrett Sheppard Steel,N,Distributor,USA
Dustin  Vienneau,Dustin Vienneau,N,Individual,USA
451 DVORAK LLC,Dvorak,N,Service Provider,USA
DYNALECTRIC,Dynalectric,N,Service Provider,USA
452 DYNALECTRIC,Dynalectric,N,Service Provider,USA
DYNAMIC MANUFACTURING SOLUTIONS,Dynamic Manufacturing Solutions,N,Manufacturer,USA
EAE,Eae Electric,N,Manufacturer,Turkey
EAGLE EYE POWER SOLUTIONS LLC,Eagle Eye Power Solutions,N,Manufacturer,USA
EARNEST SOLUTIONS,Earnest Solutions,N,Service Provider,USA
722 EASI ELECTRICAL AUTOMATION SERVICES INC,EASI Electrical Automation Services,N,Service Provider,USA
EAST COAST BREAKERS AND CONTROLS,East Coast Breakers and Controls,N,Distributor,USA
790 EAST COAST ELECTRIC INC,East Coast Electric,N,Service Provider,USA
"EASTERN LIFT TRUCK CO., INC.",Eastern Lift Truck,N,Service Provider,USA
EASTERN SURPLUS ASSET INC,Eastern Surplus Asset,N,Distributor,USA
EATON CORPORATION,Eaton,N,Manufacturer,USA
EBAY,eBay,N,Distributor,USA
eBay,eBay,N,Distributor,USA
454 EC ERNST INC,EC Ernst,N,Service Provider,USA
Echo Electric,Echo Electric,N,Distributor,USA
ECODIRECT,EcoDirect,N,Distributor,USA
EDDIE DAVIS,Eddie Davis,N,Individual,USA
DAVIS EDDIE RAY,Eddie Ray Davis,N,Individual,USA
EDISON ELECTRICAL SURPLUS,Edison Electrical Surplus,N,Distributor,USA
EDISON ENERGY INC,Edison Energy,N,Service Provider,USA
EGAN COMPANY,Egan Company,N,Service Provider,USA
EGAUGE SYSTEMS LLC,eGauge Systems,N,Manufacturer,USA
E-Hazard Management LLC,E-Hazard Management,N,Service Provider,USA
1244 ELECTRIC ADVANTAGE INC,Electric Advantage,N,Service Provider,USA
ELECTRIC AUTOMATION,Electric Automation,N,Distributor,Italy
ELECTRIC BARN,Electric Barn,N,Distributor,USA
ELECTRIC MOTOR SUPPLY CO,Electric Motor Supply,N,Distributor,USA
ELECTRIC RESEARCH AND MANUFACTURING COOPERATIVE IN,Electric Research Mfg Coop,N,Manufacturer,USA
ELECTRIC SOUTH,Electric South,N,Service Provider,USA
ELECTRICAL & SUPPLY,Electrical & Supply,N,Distributor,USA
459 ELECTRICAL CONNECTIONS INC,Electrical Connections,N,Service Provider,USA
460 ELECTRICAL GENERAL CORP,Electrical General Corp,N,Service Provider,USA
ELECTRICAL POWER AND CONTROL,Electrical Power and Control,N,Manufacturer,USA
ELECTRICAL POWER HOUSE,Electrical Power House,N,Distributor,USA
Electrical Power Solutions Inc,Electrical Power Solutions,N,Service Provider,USA
ELECTRICAL PRODUCTS & CONTROL,Electrical Products & Control,N,Distributor,USA
"ELECTRICAL SERVICE PRODUCTS, INC",Electrical Service Products,N,Manufacturer,USA
Electrical System Ltd,Electrical System,N,Service Provider,Unknown
Electrical Test Tech LLC,Electrical Test Tech,N,Service Provider,USA
ElectriConnection,ElectriConnection,N,Distributor,USA
ELECTRO INDUSTRIES/GAUGE TECH,Electro Industries / GaugeTech,N,Manufacturer,USA
ELECTRO INDUSTRIES - GAUGE TECH,Electro Industries / GaugeTech,N,Manufacturer,USA
Electrolab Limited,Electrolab,N,Manufacturer,Canada
OLYMPIC CONTROLS CORPORATION-ELECTROMAGNETIC INDUSTRIES,Electromagnetic Industries,N,Manufacturer,USA
ELECTRONIC POWER DESIGN,Electronic Power Design,N,Service Provider,USA
ELECTROSWITCH,Electroswitch,N,Manufacturer,USA
ELLIOTT ELECTRIC SUPPLY,Elliott Electric Supply,N,Distributor,USA
ELLIOTT INDUSTRIES INC,Elliott Industries,N,Manufacturer,USA
EMI Inc.,EMI,N,Manufacturer,USA
EMICC Inc,EMICC,N,Manufacturer,USA
EMSCO INC - MINNESOTA,Emsco INC - Minnesota,N,Distributor,USA
EMSCO MD,Emsco Md,N,Distributor,USA
Encompass Engineer & Architects,Encompass Engineer & Architects,N,Service Provider,USA
ENERGY AVENUE,Energy Avenue,N,Distributor,USA
ENERGY SYSTEMS CONSULTING LLC,Energy Systems Consulting,N,Service Provider,USA
ENERGY SYSTEMS MIDWEST INC,Energy Systems Midwest,N,Service Provider,USA
ENERSYS DELAWARE INC,Enersys Delaware,N,Manufacturer,USA
ENGINEERED DISTRIBUTION SPECIALISTS,Engineered Distribution Specialists,N,Distributor,USA
ENGRAPHICS LLC,Engraphics,N,Manufacturer,USA
Ensto North America Inc,Ensto North America,N,Manufacturer,Finland
"Environmental Compliance & Engineering, Inc.",Environmental Compliance & Engineering,N,Service Provider,USA
EMSI INC,Environmental Management Services,N,Manufacturer,USA
"ENVIRONMENTAL POTENTIALS, INC",Environmental Potentials,N,Manufacturer,USA
"ENVIRONMENTAL RESOURCES MANAGEMENT, INC.",Environmental Resources Management,N,Service Provider,United Kingdom
"Epic Resources, Inc",Epic Resources,N,Distributor,USA
Eplasticssandiego,ePlastics,N,Distributor,USA
"ERC International Logistics, LLC",ERC International Logistics,N,Service Provider,USA
ERIC NOEL,Eric Noel,N,Individual,USA
ErkamUSA Inc,ErkamUSA,N,Manufacturer,USA
ERMAK,Ermak Machinery,N,Manufacturer,USA
ESCAPE FIRE PROTECTION INC,Escape Fire Protection,N,Service Provider,USA
ESL POWER SYSTEMS INC,ESL Power Systems,N,Manufacturer,USA
ESPE MFG CO,Espe Manufacturing,N,Manufacturer,USA
ESS METRON,ESS Metron,N,Manufacturer,USA
"1243 ESS METRON, LLC",ESS Metron,N,Manufacturer,USA
ETI PRECISION,ETI Precision,N,Service Provider,USA
EUROFINS ELECTRICAL & ELECTRONIC TESTING,Eurofins Electrical,N,Service Provider,Luxembourg
EUTECTIC CORP,Eutectic,N,Manufacturer,Germany
EUTEX  INTERNATIONAL,Eutex International,N,Distributor,USA
EVER GREEN ACRES,Ever Green Acres,N,Service Provider,USA
EWT HOLDINGS III CORP,Evoqua Water Technologies,N,Manufacturer,USA
EXCO INDUSTRIAL,Exco Industrial Supply,N,Distributor,USA
FAIRCHILD INDUSTRIES INC,Fairchild Industries,N,Manufacturer,USA
"Falcon Electric, Inc.",Falcon Electric,N,Manufacturer,USA
Farmers Copper (Wieland) LTD,Farmers Copper (Wieland),N,Distributor,USA
FASTENAL COMPANY,Fastenal,N,Distributor,USA
FASTENER SOLUTIONS INC,Fastener Solutions,N,Distributor,USA
Fastener Superstore,Fastener Superstore,N,Distributor,USA
FERRULES DIRECT,Ferrules Direct,N,Distributor,USA
"Fieldpoint Service Applications, Inc.",Fieldpoint Service Applications,N,Service Provider,Canada
FIRE SAFETY SUPPLY,Fire Safety Supply,N,Distributor,USA
First Source Electronics,First Source Electronics,N,Manufacturer,USA
Fitzmark LLC,Fitzmark,N,Service Provider,USA
FiunEx,FiunEx,N,Service Provider,USA
Flash Embroidery,Flash Embroidery,N,Service Provider,USA
FLEX-CORE,Flex-Core,N,Manufacturer,USA
FLEX CORE DIVISION,Flex-Core,N,Manufacturer,USA
Flex-Pipe,Flex-Pipe,N,Manufacturer,USA
FLOW INTERNATIONAL,Flow International,N,Manufacturer,USA
"FLUID SOLUTIONS, LLC",Fluid Solutions,N,Distributor,USA
FORKLIFTS OF MINNESOTA INC,Forklifts of Minnesota,N,Distributor,USA
Fortis Engineers,Fortis Engineers,N,Service Provider,USA
FOSTORIA BUSHINGS & INSULATORS,Fostoria Bushings & Insulators,N,Manufacturer,USA
FOUNDATION BUILDING MATERIALS HOLDING COMPANY LLC,Foundation Building Materials,N,Distributor,USA
FPI INDUSTRIES INC,FPI Industries,N,Manufacturer,USA
FRANK J MOSAY,Frank J Mosay,N,Individual,USA
468 FREDERICK ELECTRICAL CO INC,Frederick Electrical,N,Service Provider,USA
FREEMAN LIQUIDATORS,Freeman Liquidators,N,Distributor,USA
469 FREESTATE ELECTRIC CO / AES,Freestate Electric Co / Aes,N,Service Provider,USA
470 FRESH AIR CONCEPTS,Fresh Air Concepts,N,Service Provider,USA
Frontapp,Front,N,Service Provider,USA
FRSECURE LLC,FRSecure,N,Service Provider,USA
FS INDUSTRIES AND GILMORE-KRAMER COMPANY,FS Industries & Gilmore-Kramer,N,Distributor,USA
FS.COM INC,Fs.Com,N,Manufacturer,USA
"Full Source, LLC",Full Source,N,Distributor,USA
FULLERTON FINISH SYSTEMS INC,Fullerton Finish Systems,N,Manufacturer,USA
FUSECO,Fuseco,N,Distributor,USA
FUSES UNLIMITED,Fuses Unlimited,N,Distributor,USA
G&W Electric Co,G&W Electric,N,Manufacturer,USA
GAFFNEY KROESE SUPPLY CO,Gaffney Kroese Supply,N,Distributor,USA
GAI-TRONICS CORPORATION,Gai-Tronics,N,Manufacturer,USA
GALCO,Galco Industrial Electronics,N,Distributor,USA
GARELICK STEEL,Garelick Steel,N,Distributor,USA
GE Digital LLC,GE Digital,N,Service Provider,USA
GEAR HEAD SURPLUS,Gear Head Surplus,N,Distributor,USA
GENERAL ELECTRIC,General Electric,N,Manufacturer,USA
GEORGE N. WILSON,George N. Wilson,N,Individual,USA
GEORGE W GILDE,George W. Gilde,N,Individual,USA
Gerry Post,Gerry Post,N,Individual,USA
GERRY POST,Gerry Post,N,Individual,USA
GESCO GEOPHYSICAL ELECTRIC SUPPLY,Gesco Geophysical Electric Supply,N,Distributor,USA
721:1 GEXPRO : GEXPRO - CAPITOL HEIGHTS,Gexpro,N,Distributor,USA
GEXPRO,Gexpro,N,Distributor,USA
"GHA Technologies, Inc.",GHA Technologies,N,Distributor,USA
Giga Energy Inc.,Giga Energy,N,Manufacturer,USA
GLADWIN MACHINERY & SUPPLY CO,Gladwin Machinery & Supply,N,Distributor,USA
GLASS CONTRACTORS OF BALTIMORE,Glass Contractors of Baltimore,N,Service Provider,USA
GLEN E BOND,Glen E. Bond,N,Individual,USA
GLEN EDWARD BOND,Glen Edward Bond,N,Individual,USA
746 GLO ELECTRIC,Glo Electric,N,Service Provider,USA
GLOBAL ASSET DECOMMISSIONING,Global Asset Decommissioning,N,Service Provider,USA
GLOBAL BREAKERS INC,Global Breakers,N,Distributor,USA
GLOBAL INDUSTRIAL,Global Industrial,N,Distributor,USA
GLOBAL INDUSTRIAL SUPPLIES,Global Industrial Supplies,N,Distributor,USA
GLOBE ELECTRIC SUPPLY,Globe Electric Supply,N,Distributor,USA
GMA GARNET USA CORP,GMA Garnet USA,N,Manufacturer,USA
Go Engineer,GoEngineer,N,Service Provider,USA
GOLDEN ISLES SUPPLY CO,Golden Isles Supply,N,Distributor,USA
GONZALEZ GUTIERREZ,Gonzalez Gutierrez,N,Individual,Unknown
GONZALEZ GUTIRREZ,Gonzalez Gutierrez,N,Individual,Unknown
474 GOOD NEWS ELECTRIC,Good News Electric,N,Service Provider,USA
GOOD NEWS ELECTRIC,Good News Electric,N,Service Provider,USA
GOODIN COMPANY,Goodin,N,Distributor,USA
GORDON ELECTRIC SUPPLY,Gordon Electric Supply,N,Distributor,USA
GPM SURPLUS,GPM Surplus,N,Distributor,USA
GR MECHANICAL PLUMBING AND HEATING INC,GR Mechanical Plumbing & Heating,N,Service Provider,USA
GRACEY BRADLEY LYLE,Gracey Bradley Lyle,N,Individual,USA
Grainger Industrial Supply,Grainger,N,Distributor,USA
WW GRAINGER INC,Grainger,N,Distributor,USA
GRAINGER,Grainger,N,Distributor,USA
Grand Companies Specialty Services,Grand Companies Specialty Services,N,Service Provider,USA
GRAYBAR ELECTRIC COMPANY INC,Graybar Electric,N,Distributor,USA
GRAYBAR,Graybar Electric,N,Distributor,USA
GREAT LAKES EQUIPMENT OHIO,Great Lakes Equipment OHIO,N,Distributor,USA
GREEN INDUSTRIAL WISCONSIN,Green Industrial Wisconsin,N,Distributor,USA
951 GREENERGY ELECTRIC & DESIGNS CORP,Greenergy Electric & Designs,N,Service Provider,USA
"Greenfox Services, Inc",Greenfox Services,N,Service Provider,USA
GREENHECK,Greenheck,N,Manufacturer,USA
GREGORY ANTHONY LITTLE,Gregory Anthony Little,N,Individual,USA
GREGORY KEVIN WILDER,Gregory Kevin Wilder,N,Individual,USA
GREGORY MEGGINSON,Gregory Megginson,N,Individual,USA
477 GROUNDED ELECTRICAL CONSTRUCTION,Grounded Electrical Construction,N,Service Provider,USA
GROUNDED ELECTRICAL CONSTRUCTION,Grounded Electrical Construction,N,Service Provider,USA
GUARDIAN INDUSTRIAL SUPPLY,Guardian Industrial Supply,N,Distributor,USA
GUIDEPOINT SECURITY,Guidepoint Security,N,Service Provider,USA
H M CRAGG COMPANY,H M Cragg,N,Distributor,USA
H&H BUYING & SELLING INC,H&H Buying & Selling,N,Distributor,USA
H&M DISTRIBUTORS INC,H&M Distributors,N,Distributor,USA
HADALGO LLC,Hadalgo,N,Service Provider,USA
"Haeger, Inc.",Haeger,N,Manufacturer,USA
HAMMOND POWER SOLUTIONS INC,Hammond Power Solutions,N,Manufacturer,Canada
"803 HARA ELECTRICAL CONTRACTORS, INC",Hara Electrical Contractors,N,Service Provider,USA
481 HARDESTY INC,Hardesty,N,Service Provider,USA
"Hardware Specialty Co, Inc.",Hardware Specialty,N,Distributor,USA
Harlan Electric Company,Harlan Electric,N,Service Provider,USA
HAROLD G. SCHAEVITZ,Harold G. Schaevitz,N,Manufacturer,USA
"1194 HATZEL & BUEHLER, INC.",Hatzel & Buehler,N,Service Provider,USA
HAWK ELECTRONICS,Hawk Electronics,N,Distributor,USA
HAWK RIDGE SYSTEMS LLC,Hawk Ridge Systems,N,Service Provider,USA
483 HAWKINS ELECTRIC SERVICE INC,Hawkins Electric Service,N,Service Provider,USA
HBL America Inc.,HBL America,N,Manufacturer,India
HEATTEK INC,Heattek,N,Manufacturer,USA
"723 HEFFRON COMPANY, INC",Heffron Company,N,Service Provider,USA
1136 HELIOS ELECTRIC,Helios Electric,N,Service Provider,USA
743 HELLER ELECTRIC,Heller Electric,N,Service Provider,USA
HELLER ELECTRIC COMPANY INC,Heller Electric Company,N,Service Provider,USA
