Item_ID,Raw_Description,Category,Sub_Category,Category_Level_1,Category_Level_2,Category_Level_3,analysis_type,extraction_confidence,spec_type,spec_amps,spec_voltage,spec_phase,spec_poles,spec_kaic,spec_frame,spec_kva,spec_gauge,spec_nema,RawMat_Finish,RawMat_Thickness,RawMat_Width,RawMat_Length,RawMat_UoM,RawMat_Weight_Lbs,voltage_inferred,Canonical_Group_ID,Canonical_Name
237513,SQD: 3PH 3P 480V 40A 65kA@480V,,,Circuit Protection,Low Voltage Breakers,MCCB,ai_extraction,0.8,Breaker,40.0,480V,3.0,3.0,65.0,,,,,,,,,,,False,5452,SQD: 3PH 3P 480V 40A 65kA@480V
237518,SIE: 3PH 3P 480V 30A 14kA@480V,,,Circuit Protection,Low Voltage Breakers,MCCB,ai_extraction,0.8,Breaker,30.0,480V,3.0,3.0,14.0,,,,,,,,,,,False,4824,SIE: 3PH 3P 480V 30A 14kA@480V
237521,SIE: 3PH 3P 480V 30A 14kA@480V,,,Circuit Protection,Low Voltage Breakers,MCCB,ai_extraction,0.8,Breaker,30.0,480V,3.0,3.0,14.0,,,,,,,,,,,False,4824,SIE: 3PH 3P 480V 30A 14kA@480V
237527,CH: 3PH 3P 600V 600A 35kA@480V,,,Circuit Protection,Low Voltage Breakers,MCCB,ai_extraction,0.8,Breaker,600.0,600V,3.0,3.0,35.0,,,,,,,,,,,False,1930,CH: 3PH 3P 600V 600A 35kA@480V
237538,GE: 400A 600V NEMA 1 ENCLOSURE,,,Enclosures & Hardware,Electrical Enclosures,NEMA Enclosures,ai_categorization,0.95,,,,,,,,,,,,,,,,,False,3439,Ge: 400A 600V Nema 1 Enclosure
238082,GAINTRONICS 7 PIN PLUG,,,Wire & Cable,Cable Assemblies,Plug Assemblies,ai_extraction,0.8,Plug,,,,7.0,,,,,,,,,,,,False,10709,Gaintronics 7 Pin Plug
238092,GE COMBINATION STARTER,,,Electrical Components,Switching & Control,Relays,ai_extraction,0.8,Starter,,,,,,,,,,,,,,,,False,3118,Ge Combination Starter
239816,GE CR306F SZ 4 CONTACT KIT,,,Electrical Components,Switching & Control,Contactors,ai_extraction,0.8,Contact Kit,,,,,,SZ 4,,,,,,,,,,False,10710,Ge Cr306F Sz 4 Contact Kit
240117,24V COIL MFR: GENERAL ELECTRIC,,,Electrical Components,Switching & Control,Relays,ai_extraction,0.8,Coil,,24V,,,,,,,,,,,,,,False,344,24V Coil Mfr: General Electric
240418,HEATER ELEMENT 475A MFR: General Electric,,,Electrical Components,Switching & Control,Relays,ai_extraction,0.8,Heater Element,475.0,,,,,,,,,,,,,,,False,3617,HEATER ELEMENT 475A MFR: General Electric
240725,CH: 3PH 3P 240V 90A 7kA@240V,,,Circuit Protection,Low Voltage Breakers,MCCB,ai_extraction,0.8,Breaker,90.0,240V,3.0,3.0,7.0,,,,,,,,,,,False,10711,CH: 3PH 3P 240V 90A 7kA@240V
240729,SQD: 1PH 2P 240V 50A 10kA@240V,,,Circuit Protection,Low Voltage Breakers,MCB,ai_extraction,0.8,Breaker,50.0,240V,1.0,2.0,10.0,,,,,,,,,,,False,5321,SQD: 1PH 2P 240V 50A 10kA@240V
241554,SQD: 1PH 1P 277V 30A 25kA@240V,,,Circuit Protection,Low Voltage Breakers,MCB,ai_extraction,0.8,Breaker,30.0,277V,1.0,1.0,25.0,,,,,,,,,,,False,5266,SQD: 1PH 1P 277V 30A 25kA@240V
246110,SIE: 3PH 3P 240V 100A 22kA@240V,,,Circuit Protection,Low Voltage Breakers,MCCB,ai_extraction,0.8,Breaker,100.0,240V,3.0,3.0,22.0,,,,,,,,,,,False,4778,SIE: 3PH 3P 240V 100A 22kA@240V
246115,ABB S6/T6 LUG SET OF THREE (2) 250-500MCM,,,Electrical Components,Terminal & Wiring,Lugs,ai_extraction,0.8,Lug,,,,,,S6/T6,,250-500MCM,,,,,,,,False,986,Abb S6/T6 Lug Set Of Three (2) 250-500Mcm
246120,GE FILLER PLATE FOR FULL WIDTH 27-40 APN SWBD,,,Enclosures & Hardware,Doors & Covers,Cover Plates,ai_categorization,0.9,,,,,,,,,,,,,,,,,False,3128,Ge Filler Plate For Full Width 27-40 Apn Swbd
246134,SQD: 1PH 1P 277V 30A 25kA@240V,,,Circuit Protection,Low Voltage Breakers,MCB,ai_extraction,0.8,Breaker,30.0,277V,1.0,1.0,25.0,,,,,,,,,,,False,5266,SQD: 1PH 1P 277V 30A 25kA@240V
246136,CH: 3PH 3P 480V 25A 14kA@480V,,,Circuit Protection,Low Voltage Breakers,MCCB,ai_extraction,0.8,Breaker,25.0,480V,3.0,3.0,14.0,,,,,,,,,,,False,1863,CH: 3PH 3P 480V 25A 14kA@480V
246392,SQD: 1PH 1P 277V 50A 25kA@240V,,,Circuit Protection,Low Voltage Breakers,MCB,ai_extraction,0.8,Breaker,50.0,277V,1.0,1.0,25.0,,,,,,,,,,,False,10712,SQD: 1PH 1P 277V 50A 25kA@240V
246393,SQD: 1PH 1P 277V 20A 25kA@240V,,,Circuit Protection,Low Voltage Breakers,MCB,ai_extraction,0.8,Breaker,20.0,277V,1.0,1.0,25.0,,,,,,,,,,,False,5257,SQD: 1PH 1P 277V 20A 25kA@240V
246394,CH: 3PH 3P 240V 60A 10kA@240V,,,Circuit Protection,Low Voltage Breakers,MCCB,ai_extraction,0.8,Breaker,60.0,240V,3.0,3.0,10.0,,,,,,,,,,,False,1849,CH: 3PH 3P 240V 60A 10kA@240V
246397,ITE: 3PH 3P 480V 25A 14kA@480V,,,Circuit Protection,Low Voltage Breakers,MCCB,ai_extraction,0.8,Breaker,25.0,480V,3.0,3.0,14.0,,,,,,,,,,,False,3774,ITE: 3PH 3P 480V 25A 14kA@480V
246407,FUSE: 15A 32VAC TIME DELAY FERRAZ SHAWMUT,,,Circuit Protection,Fuses & Disconnects,Power Fuses,regex_extraction,0.9,Fuse,15.0,32VAC,,,,,,,,,,,,,,False,2795,Fuse: 15A 32Vac Time Delay Ferraz Shawmut
246408,SIE MOD 95 ACCESSORY,,,Circuit Protection,Breaker Accessories,Mounting Kits,ai_extraction,0.8,Accessory,,,,,,,,,,,,,,,,False,4699,Sie Mod 95 Accessory
246411,CH: 1PH 1P 480V 80A 14kA@277V,,,Circuit Protection,Low Voltage Breakers,MCB,ai_extraction,0.8,Breaker,80.0,480V,1.0,1.0,14.0,,,,,,,,,,,False,1749,CH: 1PH 1P 480V 80A 14kA@277V
246414,WARNING LIGHT LED RED 24 VAC / 24/48 V D,,,Electrical Components,Switching & Control,Relays,ai_extraction,0.8,Warning Light,,24VAC/48VDC,,,,,,,,,,,,,,False,10713,Warning Light Led Red 24 Vac / 24/48 V D
246536,CH PRL3A EHD/FDB/FD/HFD KIT,,,Circuit Protection,Breaker Accessories,Mounting Kits,ai_extraction,0.8,Kit,,,,,,EHD/FDB/FD/HFD,,,,,,,,,,False,1700,Ch Prl3A Ehd/Fdb/Fd/Hfd Kit
246544,"WH 5 STAR MCC FEEDER TYPE BREAKER TYPE 30"" 600A",,,Circuit Protection,Low Voltage Breakers,MCCB,regex_extraction,0.7,Breaker,600.0,,,,,,,,,,,,,,,False,6510,"""Category: --- Low Voltage --- Identifier: --- 3- Add on 600 amp cb's  (XT5HU360BFYN0AGXXX)
  ----------------------------------
  - Enclosure Rating: ---   - System voltage: ---   - Bus amperage:  ---   - Short Circuit Rating: ---   - Applicable Listing: """
246784,3P 480V 20AMP 35KAIC AT 480V ILINE BREAKER,,,Circuit Protection,Low Voltage Breakers,MCCB,regex_extraction,0.9,Breaker,20.0,480VAC,,3.0,35.0,,,,,,,,,,,False,6390,3P 480V 20Amp 35Kaic At 480V Iline Breaker
246793,"CABLE LUG 1 HOLE 1/0 AWG 3/8"" STUD",,,Electrical Components,Terminal & Wiring,Lugs,ai_extraction,0.8,Lug,,,,,,,,1/0 AWG,,,,,,,,False,10714,"Cable Lug 1 Hole 1/0 Awg 3/8"" Stud"
246801,3PH 3P 600V 100A 22kA@480V MFR: WESTINGHOUSE,,,Circuit Protection,Low Voltage Breakers,MCCB,ai_extraction,0.8,Breaker,100.0,600V,3.0,3.0,22.0,,,,,,,,,,,False,646,3PH 3P 600V 100A 22kA@480V MFR: WESTINGHOUSE
252658,FURNAS 440-480VAC COIL FOR CLASS 15 SIZE C STARTER,,,Electrical Components,Switching & Control,Motor Starters,ai_extraction,0.8,Coil,,440-480VAC,,,,,,,,,,,,,,False,10715,Furnas 440-480Vac Coil For Class 15 Size C Starter
252863,SIE 1NO 1NC AUXILIARY FOR FD/FXD FRAME,,,Circuit Protection,Breaker Accessories,Auxiliary Contacts,ai_extraction,0.8,Auxiliary Contact,,,,,,FD/FXD,,,,,,,,,,False,10716,Sie 1No 1Nc Auxiliary For Fd/Fxd Frame
253565,SQD: 1PH 1P 277V 25A 65kA@480V,,,Circuit Protection,Low Voltage Breakers,MCB,ai_extraction,0.8,Breaker,25.0,277V,1.0,1.0,65.0,,,,,,,,,,,False,5262,SQD: 1PH 1P 277V 25A 65kA@480V
253568,IFM ELECTRONIC FLOW LIMITER,,,Electrical Components,Metering & Sensing,Current Sensors,ai_extraction,0.8,Flow Limiter,,,,,,,,,,,,,,,,False,10717,Ifm Electronic Flow Limiter
254381,SQD: 1PH 2P 240V 30A 10kA@240V,,,Circuit Protection,Low Voltage Breakers,MCB,ai_extraction,0.8,Breaker,30.0,240V,1.0,2.0,10.0,,,,,,,,,,,False,5315,SQD: 1PH 2P 240V 30A 10kA@240V
254384,"SIE MTG KIT AND HW SB3 - FD FRAME TWIN MOUNT 5"" HEIGHT",,,Circuit Protection,Breaker Accessories,Mounting Kits,ai_extraction,0.8,Mounting Kit,,,,,,FD,,,,,,,,,,False,4706,"Sie Mtg Kit And Hw Sb3 - Fd Frame Twin Mount 5"" Height"
254396,BURNDY 1 HOLE CABLE LUG 1750 MCM,,,Electrical Components,Terminal & Wiring,Lugs,ai_extraction,0.8,Lug,,,,,,,,1750 MCM,,,,,,,,False,10718,Burndy 1 Hole Cable Lug 1750 Mcm
256229,1P 20A 120/240V Stab-Lock Circuit Breaker MFR: FP,,,Circuit Protection,Low Voltage Breakers,MCB,regex_extraction,0.9,Breaker,20.0,120/240VAC,,1.0,,,,,,,,,,,,False,6377,"Breaker, TYPE BAB , 120/240 VAC MAX, 1 POLE, 20 AMP,"
256830,3PH 3P 240V 70A 10kA@240V MFR: FEDERAL PACIFIC,,,Circuit Protection,Low Voltage Breakers,MCCB,ai_extraction,0.8,Breaker,70.0,240V,3.0,3.0,10.0,,,,,,,,,,,False,635,3PH 3P 240V 70A 10kA@240V MFR: FEDERAL PACIFIC
258450,"SIEMENS 12.75"" NGB/HGB/LGB",,,Circuit Protection,Low Voltage Breakers,MCCB,ai_extraction,0.8,Breaker,,,,,,NGB/HGB/LGB,,,,,,,,,,False,4883,"Siemens 12.75"" Ngb/Hgb/Lgb"
258451,SQD: 1PH 2P 120V 20A 10kA@120V,,,Circuit Protection,Low Voltage Breakers,MCB,ai_extraction,0.8,Breaker,20.0,120V,1.0,2.0,10.0,,,,,,,,,,,False,5285,SQD: 1PH 2P 120V 20A 10kA@120V
258553,SIE: 3PH 3P 240V 40A 22kA@240V,,,Circuit Protection,Low Voltage Breakers,MCCB,ai_extraction,0.8,Breaker,40.0,240V,3.0,3.0,22.0,,,,,,,,,,,False,4795,SIE: 3PH 3P 240V 40A 22kA@240V
258854,SIE MOD 95 ACCESSORY,,,Circuit Protection,Breaker Accessories,Mounting Kits,ai_extraction,0.8,Accessory,,,,,,,,,,,,,,,,False,4699,Sie Mod 95 Accessory
258868,GE SPECTRA 35A RATING PLUG SE 60A FRAME,,,Circuit Protection,Breaker Accessories,Rating Plugs,ai_extraction,0.8,Breaker,35.0,,,,,60A,,,,,,,,,,False,3207,Ge Spectra 35A Rating Plug Se 60A Frame
258870,LITHONIA SECURITY LIGHT LED,,,MRO & Indirect,Facilities,Factory Maintenance,ai_categorization,0.7,,,,,,,,,,,,,,,,,False,3901,Lithonia Security Light Led
258874,PANELBOARD FRONT FOR A-SERIES SURFACE MT,,,Enclosures & Hardware,Doors & Covers,Cover Plates,ai_categorization,0.9,,,,,,,,,,,,,,,,,False,4289,Panelboard Front For A-Series Surface Mt
262415,3P 45A 480VAC 120VAC SHUNT SQUARE D MCCB,,,Circuit Protection,Low Voltage Breakers,MCCB,regex_extraction,0.9,MCCB,45.0,480VAC,,3.0,,,,,,,,,,,,False,10719,3P 45A 480Vac 120Vac Shunt Square D Mccb
262419,SQD 30A 600V / 60A 250V FUSE CLIP AND LOAD BASE FOR 8536,,,Circuit Protection,Fuses & Disconnects,Fuse Blocks,regex_extraction,0.9,Fuse,30.0,600VAC,,,,,,,,,,,,,,False,5040,Sqd 30A 600V / 60A 250V Fuse Clip And Load Base For 8536
262420,"APPLETON CABLE GLAND 2""",,,Enclosures & Hardware,Fasteners & Fittings,Bolts & Screws,ai_categorization,0.85,,,,,,,,,,,,,,,,,False,10720,"Appleton Cable Gland 2"""
262421,CH: 3PH 3P 480V 15A 14kA@480V,,,Circuit Protection,Low Voltage Breakers,MCB,ai_extraction,0.8,Breaker,15.0,480V,3.0,3.0,14.0,,,,,,,,,,,False,1859,CH: 3PH 3P 480V 15A 14kA@480V
262424,CH: 1PH 2P 240V 30A 10kA@240V,,,Circuit Protection,Low Voltage Breakers,MCB,ai_extraction,0.8,Breaker,30.0,240V,1.0,2.0,10.0,,,,,,,,,,,False,1775,CH: 1PH 2P 240V 30A 10kA@240V
262627,3P 20A 480V 25KAIC AT 480V,,,Circuit Protection,Low Voltage Breakers,MCCB,ai_extraction,0.8,Breaker,20.0,480V,,3.0,25.0,,,,,,,,,,,False,522,3P 20A 480V 25Kaic At 480V
262630,SQD: 3PH 3P 600V 60A Single CONFIG SAFETY SWITCH,,,Circuit Protection,Low Voltage Breakers,Safety Switches,ai_extraction,0.8,Safety Switch,60.0,600V,3.0,3.0,,,,,,,,,,,,False,5545,SQD: 3PH 3P 600V 60A Single CONFIG SAFETY SWITCH
262631,"GE DOUBLE THROW FUSIBLE 600 A, 600 V NEMA-1",,,Circuit Protection,Fuses & Disconnects,Power Fuses,ai_extraction,0.8,Safety Switch,600.0,600V,,,,,,,NEMA-1,,,,,,,False,10721,"Ge Double Throw Fusible 600 A, 600 V Nema-1"
262735,SQD: 400A 600V NEMA 1 ENCLOSURE,,,Enclosures & Hardware,Electrical Enclosures,NEMA Enclosures,ai_categorization,1.0,,,,,,,,,,,,,,,,,False,5561,Sqd: 400A 600V Nema 1 Enclosure
262736,GE 400A NEUTRAL CURRENT SENSOR,,,Electrical Components,Metering & Sensing,Power Meters,ai_extraction,0.8,Sensor,400.0,,,,,,,,,,,,,,,False,3079,Ge 400A Neutral Current Sensor
262942,GE: 3PH 3P 240V 150A 22kA@240V,,,Circuit Protection,Low Voltage Breakers,MCCB,ai_extraction,0.8,Breaker,150.0,240V,3.0,3.0,22.0,,,,,,,,,,,False,10722,GE: 3PH 3P 240V 150A 22kA@240V
264546,EXP PROOF PB OPERATOR,,,Electrical Components,Switching & Control,Relays,ai_extraction,0.8,Push Button,,,,,,,,,,,,,,,,False,2615,Exp Proof Pb Operator
264747,MOLEX MINI CONNECTORS,,,Electrical Components,Terminal & Wiring,Connectors,ai_extraction,0.8,Connector,,,,,,,,,,,,,,,,False,4147,Molex Mini Connectors
265049,GE 600A NEUTRAL CURRENT SENSOR,,,Electrical Components,Metering & Sensing,Power Meters,ai_extraction,0.8,Sensor,600.0,,,,,,,,,,,,,,,False,3081,Ge 600A Neutral Current Sensor
265450,BELDEN CABLE 9463,,,Wire & Cable,Control Cable,Multi-Conductor,ai_extraction,0.8,Cable,,,,,,,,,,,,,,,,False,1464,Belden Cable 9463
266986,50VA CPT 460/230/208 PRI X 115/24 SEC,,,Transformers,Low Voltage Transformers,Control Transformer,regex_extraction,0.7,Transformer,,,,,,,0.05,,,,,,,,,False,773,50Va Cpt 460/230/208 Pri X 115/24 Sec
266994,"COMMOSCOPE PLUG 4""",,,Enclosures & Hardware,Fasteners & Fittings,Bolts & Screws,ai_categorization,0.7,,,,,,,,,,,,,,,,,False,10723,"Commoscope Plug 4"""
266999,SQD: 1PH 2P 120V 100A 10kA@120V W/SHUNT TRIP,,,Circuit Protection,Low Voltage Breakers,MCB,ai_extraction,0.8,Breaker,100.0,120V,1.0,2.0,10.0,,,,,,,,,,,False,5280,SQD: 1PH 2P 120V 100A 10kA@120V W/SHUNT TRIP
267002,MOLEX MINI CONNECTORS,,,Electrical Components,Terminal & Wiring,Connectors,ai_extraction,0.8,Connector,,,,,,,,,,,,,,,,False,4147,Molex Mini Connectors
267006,GE: 3PH 3P 600V 400A Single CONFIG SAFETY SWITCH,,,Circuit Protection,Low Voltage Breakers,Safety Switches,ai_extraction,0.8,Safety Switch,400.0,600V,3.0,3.0,,,,,,,,,,,,False,3422,GE: 3PH 3P 600V 400A Single CONFIG SAFETY SWITCH
267009,SQD: 1PH 1P 120V 30A 10kA@120V,,,Circuit Protection,Low Voltage Breakers,MCB,ai_extraction,0.8,Breaker,30.0,120V,1.0,1.0,10.0,,,,,,,,,,,False,5241,SQD: 1PH 1P 120V 30A 10kA@120V
267014,ETN 2P 20A 240V 10KAIC BOLT ON GF EPD W BELL ALARM,,,Circuit Protection,Protection Devices,Ground Fault Protection,ai_extraction,0.8,Breaker,20.0,240V,,2.0,10.0,,,,,,,,,,,False,10724,Etn 2P 20A 240V 10Kaic Bolt On Gf Epd W Bell Alarm
267025,SQD: 3PH 3P 240V 400A 25kA@240V,,,Circuit Protection,Low Voltage Breakers,MCCB,ai_extraction,0.8,Breaker,400.0,240V,3.0,3.0,25.0,,,,,,,,,,,False,5406,SQD: 3PH 3P 240V 400A 25kA@240V
267028,130V SHUNT TRIPS MFR: SCHNEIDER ELECTRIC,,,Circuit Protection,Breaker Accessories,Shunt Trips,ai_extraction,0.8,Shunt Trip,,130V,,,,,,,,,,,,,,False,161,130V Shunt Trips Mfr: Schneider Electric
267033,GE APN-B SPECTRA SF TWIN MTG KIT,,,Circuit Protection,Breaker Accessories,Mounting Kits,ai_extraction,0.8,Mounting Kit,,,,,,SF,,,,,,,,,,False,10725,Ge Apn-B Spectra Sf Twin Mtg Kit
267260,CH: 3PH 3P 600V 800A Single CONFIG SAFETY SWITCH,,,Circuit Protection,Low Voltage Breakers,Safety Switches,ai_extraction,0.8,Safety Switch,800.0,600V,3.0,3.0,,,,,,,,,,,,False,1944,CH: 3PH 3P 600V 800A Single CONFIG SAFETY SWITCH
267495,EATON MAGNUM 800A FRAME,,,Circuit Protection,Low Voltage Breakers,ACB,ai_extraction,0.8,Breaker,800.0,,,,,800A,,,,,,,,,,True,10726,Eaton Magnum 800A Frame
269005,GE FVNR SZ 1 STARTER 3P 27A 600V 120V COIL SSOLR 3.2-6.8A,,,Electrical Components,Switching & Control,Relays,ai_extraction,0.8,Starter,27.0,600V,,3.0,,1,,,,,,,,,,False,3134,Ge Fvnr Sz 1 Starter 3P 27A 600V 120V Coil Ssolr 3.2-6.8A
269206,SQUARE D COMBINATION STARTER,,,Electrical Components,Switching & Control,Relays,ai_extraction,0.8,Starter,,,,,,,,,,,,,,,,False,5633,Square D Combination Starter
269210,SQD 3P 30A 600V 35KAIC AT 480V,,,Circuit Protection,Low Voltage Breakers,MCCB,ai_extraction,0.8,Breaker,30.0,600V,,3.0,35.0,,,,,,,,,,,False,5062,Sqd 3P 30A 600V 35Kaic At 480V
269314,"GE E9000 LV MCC; FEEDER TYPE 6"" PROVISION; BREAKER TYPE DISCONNECT 20A",,,Switchgear & Distribution,Low Voltage Switchgear,Motor Control Centers,regex_extraction,0.7,Disconnect,20.0,,,,,,,,,,,,,,,False,10727,"Ge E9000 Lv Mcc; Feeder Type 6"" Provision; Breaker Type Disconnect 20A"
269339,208V COIL MFR: GENERAL ELECTRIC,,,Electrical Components,Switching & Control,Relays,ai_extraction,0.8,Coil,,208V,,,,,,,,,,,,,,False,313,208V Coil Mfr: General Electric
269343,GEXOL CABLE 4 C X 10 AWG NON ARMORED,,,Wire & Cable,Power Cable,Tray Cable,ai_extraction,0.8,Cable,,,,4.0,,,,10 AWG,,,,,,,,False,6848,Gexol Cable 4 C X 10 Awg  Armored / Sheathed
269344,"BICON CABLE GLAND 1""",,,Enclosures & Hardware,Fasteners & Fittings,Bolts & Screws,ai_categorization,0.6,,,,,,,,,,,,,,,,,False,10728,"Bicon Cable Gland 1"""
269347,FUSE: 125A 600VAC CLASS RK5 FERRAZ SHAWMUT,,,Circuit Protection,Fuses & Disconnects,Power Fuses,regex_extraction,0.9,Fuse,125.0,600VAC,,,,,,,,,,,,,,False,2782,Fuse: 125A 600Vac Class Rk5 Ferraz Shawmut
269350,SIE: 1PH 2P 240V 40A 65kA@240V,,,Circuit Protection,Low Voltage Breakers,MCB,ai_extraction,0.8,Breaker,40.0,240V,1.0,2.0,65.0,,,,,,,,,,,False,4764,SIE: 1PH 2P 240V 40A 65kA@240V
269351,SIE: 60A 240V NEMA 1 ENCLOSURE,,,Enclosures & Hardware,Electrical Enclosures,NEMA Enclosures,ai_categorization,1.0,,,,,,,,,,,,,,,,,False,10729,Sie: 60A 240V Nema 1 Enclosure
269353,CH: 1PH 2P 240V 150A 10kA@240V,,,Circuit Protection,Low Voltage Breakers,MCCB,ai_extraction,0.8,Breaker,150.0,240V,1.0,2.0,10.0,,,,,,,,,,,False,1761,CH: 1PH 2P 240V 150A 10kA@240V
269356,GE 400A NEUTRAL CURRENT SENSOR,,,Electrical Components,Metering & Sensing,Power Meters,ai_extraction,0.8,Sensor,400.0,,,,,,,,,,,,,,,False,3079,Ge 400A Neutral Current Sensor
269358,400A KD 250-500MCM (1) 1PC CH MCCB ACC,,,Circuit Protection,Breaker Accessories,Mounting Kits,regex_extraction,0.7,MCCB,400.0,,,,,,,,,,,,,,,False,726,400A Kd 250-500Mcm (1) 1Pc Ch Mccb Acc
269361,"S5 12.75"" HARDWARE BL/BQD",,,Circuit Protection,Breaker Accessories,Mounting Kits,ai_extraction,0.8,Hardware,,,,,,BQD,,,,,,,,,,False,10730,"S5 12.75"" Hardware Bl/Bqd"
269362,GE: 1PH 2P 240V 50A 22kA@240V,,,Circuit Protection,Low Voltage Breakers,MCB,ai_extraction,0.8,Breaker,50.0,240V,1.0,2.0,22.0,,,,,,,,,,,False,10731,GE: 1PH 2P 240V 50A 22kA@240V
269365,3PH 3P 480V 20A 35kA@480V MFR: SQUARE D,,,Circuit Protection,Low Voltage Breakers,MCCB,ai_extraction,0.8,Breaker,20.0,480V,3.0,3.0,35.0,,,,,,,,,,,False,640,3PH 3P 480V 20A 35kA@480V MFR: SQUARE D
269371,3PH 3P 600V 40A 25kA@480V MFR: SQUARE D,,,Circuit Protection,Low Voltage Breakers,MCCB,ai_extraction,0.8,Breaker,40.0,600V,3.0,3.0,25.0,,,,,,,,,,,False,6466,3PH 3P 600V 40A 25kA@480V MFR: SQUARE D
269372,CH: 3PH 3P 600V 400A 35kA@480V,,,Circuit Protection,Low Voltage Breakers,MCCB,ai_extraction,0.8,Breaker,400.0,600V,3.0,3.0,35.0,,,,,,,,,,,False,1920,CH: 3PH 3P 600V 400A 35kA@480V
269374,2P 240V 60A 10KAIC BOLT-ON BREAKER,,,Circuit Protection,Low Voltage Breakers,MCB,regex_extraction,0.9,Breaker,60.0,240VAC,,2.0,10.0,,,,,,,,,,,False,390,2P 240V 60A 10Kaic Bolt-On Breaker
271895,FUSIBLE ELEVATOR SWITCH 3P 30A 480V WITH SHUNT TRIP AND AUX IN NEMA 12 ENCLOSURE,,,Circuit Protection,Low Voltage Breakers,Safety Switches,ai_extraction,0.8,Switch,30.0,480V,,3.0,,,,,12,,,,,,,False,10732,Fusible Elevator Switch 3P 30A 480V With Shunt Trip And Aux In Nema 12 Enclosure
273013,CH: 1PH 2P 240V 150A 10kA@240V,,,Circuit Protection,Low Voltage Breakers,MCB,ai_extraction,0.8,Breaker,150.0,240V,1.0,2.0,10.0,,,,,,,,,,,False,1761,CH: 1PH 2P 240V 150A 10kA@240V
273114,CH: 1PH 2P 240V 100A 10kA@240V,,,Circuit Protection,Low Voltage Breakers,MCB,ai_extraction,0.8,Breaker,100.0,240V,1.0,2.0,10.0,,,,,,,,,,,False,1753,CH: 1PH 2P 240V 100A 10kA@240V
273737,SIE: 1PH 2P 240V 40A 65kA@240V,,,Circuit Protection,Low Voltage Breakers,MCB,ai_extraction,0.8,Breaker,40.0,240V,1.0,2.0,65.0,,,,,,,,,,,False,4764,SIE: 1PH 2P 240V 40A 65kA@240V
273738,SSAC SYMCOM/ABB AC LOW COST FLASHER,,,Electrical Components,Switching & Control,Relays,ai_extraction,0.8,Flasher,,AC,,,,,,,,,,,,,,False,5642,Ssac Symcom/Abb Ac Low Cost Flasher
273741,CH: 1PH 1P 240V 20A 10kA@240V,,,Circuit Protection,Low Voltage Breakers,MCB,ai_extraction,0.8,Breaker,20.0,240V,1.0,1.0,10.0,,,,,,,,,,,False,1722,CH: 1PH 1P 240V 20A 10kA@240V
273743,SIE: 3PH 3P 600V 1200A Single CONFIG SAFETY SWITCH,,,Circuit Protection,Low Voltage Breakers,Safety Switches,ai_extraction,0.8,Switch,1200.0,600V,3.0,3.0,,,,,,,,,,,,False,10733,SIE: 3PH 3P 600V 1200A Single CONFIG SAFETY SWITCH
273748,WH: 3PH 3P 600V 150A 30kA@480V,,,Circuit Protection,Low Voltage Breakers,MCCB,ai_extraction,0.8,Breaker,150.0,600V,3.0,3.0,30.0,,,,,,,,,,,False,5929,WH: 3PH 3P 600V 150A 30kA@480V
276896,SIE MOUNTING KIT AND HW S4/S5/P5 TO FXD TWIN,,,Circuit Protection,Breaker Accessories,Mounting Kits,ai_extraction,0.8,Mounting Kit,,,,,,S4/S5/P5,,,,,,,,,,False,4703,Sie Mounting Kit And Hw S4/S5/P5 To Fxd Twin
276903,SQD: 3PH 3P 600V 200A Single CONFIG SAFETY SWITCH,,,Circuit Protection,Low Voltage Breakers,Safety Switches,ai_extraction,0.8,Switch,200.0,600V,3.0,3.0,,,,,,,,,,,,False,5505,SQD: 3PH 3P 600V 200A Single CONFIG SAFETY SWITCH
276915,WH: 150A RATING PLUG,,,Circuit Protection,Breaker Accessories,Rating Plugs,ai_extraction,0.8,Rating Plug,150.0,,,,,,,,,,,,,,,False,10734,Wh: 150A Rating Plug
276918,"PANEL MOUNT RECEPTACLE MALE 1135 A, 313-777 MCM GREEN",,,Electrical Components,Terminal & Wiring,Connectors,ai_extraction,0.8,Receptacle,1135.0,,,,,,,313-777 MCM,,,,,,,,False,7181,"Panel Mount Receptacle Male 1135 A, 313-777 Mcm Yellow"
277238,SQD: 3PH 3P 480V 100A 18kA@480V,,,Circuit Protection,Low Voltage Breakers,MCCB,ai_extraction,0.8,Breaker,100.0,480V,3.0,3.0,18.0,,,,,,,,,,,False,5424,SQD: 3PH 3P 480V 100A 18kA@480V
277958,SQUARE D COMBINATION STARTER,,,Electrical Components,Switching & Control,Relays,ai_extraction,0.8,Starter,,,,,,,,,,,,,,,,False,5633,Square D Combination Starter
278364,ZINSCO 2P 125A 250V 10KAIC PLUG IN,,,Circuit Protection,Low Voltage Breakers,MCB,ai_extraction,0.8,Breaker,125.0,250V,,2.0,10.0,,,,,,,,,,,False,10735,Zinsco 2P 125A 250V 10Kaic Plug In
278381,CH: 1PH 1P 120V 50A 10kA@120V,,,Circuit Protection,Low Voltage Breakers,MCB,ai_extraction,0.8,Breaker,50.0,120V,1.0,1.0,10.0,,,,,,,,,,,False,1715,CH: 1PH 1P 120V 50A 10kA@120V
