PO Number,PO Line,Maximum of Subsidiary,Maximum of Department,Maximum of Location,Maximum of Created By,Maximum of PO Status,Maximum of Date,Maximum of Expected Receipt Date,Maximum of Promise Date,Maximum of Due Date,Maximum of Total Quantity,Maximum of Quantity Fulfilled/Received,Maximum of Open Qty,Maximum of Item Rate,Maximum of Total Quantity Amount,Maximum of Shipping Zip,Maximum of Shipping Country Code,Maximum of Terms,Maximum of Vendor Internal ID,Maximum of Vendor Name,Maximum of Vendor Zip Code,Maximum of Memo,Maximum of Item Internal ID,Maximum of Item MPN Name Custom,Maximum of Item Display Name,Maximum of Item Description,Maximum of Item GL Expense Account,Maximum of Item Type,Maximum of Product Line,Maximum of Primary UOM,Maximum of Requested Date
P-AE0000566,2,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Sally Hellman,Partially Received,06/12/2026,03/31/2027,,03/31/2027,1,.62861,.37139,92254.00,92254.00,21090,US,Net 30,53125,RMS ENERGY,56345,This quotation is provided in accordance with the above-described information and the  exceptions/clarifications provided within this proposal. RMS Energy to provide labor for the scope of work below. • Two (2) qualified technicians o Assist with L3/L4 functional testing checklist  • LV Switchgear • LV Transformers • MV Transformers • Automatic Transfer Switches • Schedule  o Monday-Friday  • 8 hour days  • Item 2: o Adder for July 2026 (23 days) ,4583547,Third Party Services,Third Party Services,,Cost of Sales - Services and Solutions,Service,,,
P-BL0000569,1,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,12/23/2025,09/30/2026,,09/30/2026,1,0,1,.00,.00,22102,US,Net 30,59592,Kegan Engineering Group PLLC,28227,Engineering Support Lot,4138345,"DS-Other (i.e. hardware, cables, Pole Mounted Equipment, etc)","Other (i.e. hardware, cables, Pole Mounted Equipment, etc)",[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,Medium Voltage Switchgear,,
P-BL0000569,2,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,12/23/2025,09/30/2026,,09/30/2026,1,0,1,22100.00,22100.00,22102,US,Net 30,59592,Kegan Engineering Group PLLC,28227,QA/QC Engineering Support ,4138345,"DS-Other (i.e. hardware, cables, Pole Mounted Equipment, etc)","Other (i.e. hardware, cables, Pole Mounted Equipment, etc)",[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,Medium Voltage Switchgear,,
P-BL0000569,3,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,12/23/2025,09/30/2026,,09/30/2026,1,0,1,41950.00,41950.00,22102,US,Net 30,59592,Kegan Engineering Group PLLC,28227,Functional Design Document ,4138345,"DS-Other (i.e. hardware, cables, Pole Mounted Equipment, etc)","Other (i.e. hardware, cables, Pole Mounted Equipment, etc)",[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,Medium Voltage Switchgear,,
P-BL0000569,4,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,12/23/2025,09/30/2026,,09/30/2026,1,0,1,18400.00,18400.00,22102,US,Net 30,59592,Kegan Engineering Group PLLC,28227,Settings File Development ,4138345,"DS-Other (i.e. hardware, cables, Pole Mounted Equipment, etc)","Other (i.e. hardware, cables, Pole Mounted Equipment, etc)",[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,Medium Voltage Switchgear,,
P-BL0000569,5,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,12/23/2025,02/14/2027,,02/14/2027,1,0,1,49000.00,49000.00,22102,US,Net 30,59592,Kegan Engineering Group PLLC,28227,On-Site Vendor Setup,4138345,DS-On Site Services NEW,DS-On Site Services NEW,,Cost of Sales - Services and Solutions,Non-inventory Item,Medium Voltage Switchgear,Each,
P-AE0000572,3,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Sally Hellman,Partially Received,06/17/2026,07/01/2026,,07/01/2026,1,0,1,.00,.00,63103,US,Net 30,55390,IC-Allied Power and Control,21076,THREE VMI - FNQ-R-3 FUSES,4594459,LOOSE FUSE,THREE VMI - FNQ-R-3 FUSES,,Cost of Sales - Manufactured Product,Assembly/Bill of Materials,,Each,06/17/2026
P-BL0000573,1,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,12/29/2025,01/12/2026,,01/12/2026,1,0,1,2200.00,2200.00,22312,US,Net 30,55390,IC-Allied Power and Control,21076,SITE MODIFICATION JOB IN EXISTING SWITCHGEAR INSTALLATION OF PHASE FAILURE PROTECTION RELAY IN N3R ENCLOSURE,4146668,WO-11875-1.1,PHASE RELAY IN N3R ENCLOSURE,SITE MODIFICATION JOB IN EXISTING SWITCHGEAR INSTALLATION OF PHASE FAILURE PROTECTION RELAY IN N3R ENCLOSURE,Cost of Sales - Manufactured Product,Assembly/Bill of Materials,,Each,
P-AE0000580,1,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Sally Hellman,Pending Receipt,06/24/2026,09/04/2026,,09/04/2026,1,0,1,64570.00,64570.00,92054,US,Net 30,55390,IC-Allied Power and Control,21076,"ELECTRICAL SPECIFICATIONS: DESIGNED AND TESTED IN ACCORDANCE WITH UL/ NATIONAL ELECTRIC CODE / NEMA PB2 � SYSTEM VOLTAGE � 480Y/277VAC 3PH 4W 60HZ � SYSTEM AMPACITY � 1000A � SOURCE DESCRIPTION � MAIN BREAKER / MULTIPLE SOURCES � INCOMING ENTRY DIRECTION � BOTTOM � MAX AVAILABLE FAULT CURRENT (RMS) � 42KA � BUSSING � COPPER (PLATED) � NEUTRAL BUS � 100% � GROUND � INCLUDED � ENCLOSURE � TYPE 1 INDOOR � ACCESSIBILITY � FRONT ACCESS ONLY � SERVICE ENTRANCE RATING � SERVICE ENTRANCE RATED � EXTERIOR PAINT COLOR � ANSI-61 GREY SECTION DETAILS: SECTION 1/4 | UTILITY INCOMING SECTION SECTION 2/4 | OUTPUT CABLE SECTION SECTION 3/4 | ROLL-UP GENERATOR BREAKER SECTION SECTION 4/4 | STACKED GENERATOR BREAKER SECTION BREAKER DETAILS: 2 - 1000AF/1000AT; 600VAC MAX; 100% RATED; 50KA AT 480VAC; 3 POLE; UL; DRAWOUT, ELECTRICALLY OPERATED, ELECTRONIC TRIP UNIT, LONG TIME, SHORT TIME, INSTANTANEOUS, GROUND FAULT CIRCUIT BREAKER TYPE, 120VAC CHARGING MOTOR, 24VDC SHUNT TRIP, 24VDC CLOSING COIL, 4 BREAKER STATUS CONTACTS, MODBUS COMMUNICATIONS 2 - 800AF/600AT; 600VAC MAX; 100% RATED; 50KA AT 480VAC; 3 POLE; UL; DRAWOUT, ELECTRICALLY OPERATED, ELECTRONIC TRIP UNIT, LONG TIME, SHORT TIME, INSTANTANEOUS, GROUND FAULT CIRCUIT BREAKER TYPE, 120VAC CHARGING MOTOR, 24VDC SHUNT TRIP, 24VDC CLOSING COIL, 4 BREAKER STATUS CONTACTS, MODBUS COMMUNICATIONS DIMENSIONS: 108""W X 30""D X 90""H ACCESSORIES/OPTIONS: 1 - 4 BUS TAPPED CPTS (1KVA) 2 - SETS OF 480:120V PTS 1 - 300KA SPD WITH MODBUS COMMUNICATIONS AND DISCONNECT 1 - PHASE SEQUENCE INDICATOR 1 - SET OF TERMINALS FOR CONNECTION TO REMOTE CONTROL PANEL ELECTRICAL SPECIFICATIONS: DESIGNED AND TESTED IN ACCORDANCE WITH UL/ NATIONAL ELECTRIC CODE / NEMA PB2 � SYSTEM VOLTAGE � 480Y/277VAC 3PH 4W 60HZ � SYSTEM AMPACITY � 1000A � SOURCE DESCRIPTION � MAIN BREAKER / MULTIPLE SOURCES � INCOMING ENTRY DIRECTION � BOTTOM � MAX AVAILABLE FAULT CURRENT (RMS) � 42KA � BUSSING � COPPER (PLATED) � NEUTRAL BUS � 100% � GROUND � INCLUDED � ENCLOSURE � TYPE 1 INDOOR � ACCESSIBILITY � FRONT ACCESS ONLY � SERVICE ENTRANCE RATING � SERVICE ENTRANCE RATED � EXTERIOR PAINT COLOR � ANSI-61 GREY SECTION DETAILS: SECTION 1/4 | UTILITY INCOMING SECTION SECTION 2/4 | OUTPUT CABLE SECTION SECTION 3/4 | ROLL-UP GENERATOR BREAKER SECTION SECTION 4/4 | STACKED GENERATOR BREAKER SECTION BREAKER DETAILS: 2 - 1000AF/1000AT; 600VAC MAX; 100% RATED; 50KA AT 480VAC; 3 POLE; UL; DRAWOUT, ELECTRICALLY OPERATED, ELECTRONIC TRIP UNIT, LONG TIME, SHORT TIME, INSTANTANEOUS, GROUND FAULT CIRCUIT BREAKER TYPE, 120VAC CHARGING MOTOR, 24VDC SHUNT TRIP, 24VDC CLOSING COIL, 4 BREAKER STATUS CONTACTS, MODBUS COMMUNICATIONS 2 - 800AF/600AT; 600VAC MAX; 100% RATED; 50KA AT 480VAC; 3 POLE; UL; DRAWOUT, ELECTRICALLY OPERATED, ELECTRONIC TRIP UNIT, LONG TIME, SHORT TIME, INSTANTANEOUS, GROUND FAULT CIRCUIT BREAKER TYPE, 120VAC CHARGING MOTOR, 24VDC SHUNT TRIP, 24VDC CLOSING COIL, 4 BREAKER STATUS CONTACTS, MODBUS COMMUNICATIONS DIMENSIONS: 108""W X 30""D X 90""H ACCESSORIES/OPTIONS: 1 - 4 BUS TAPPED CPTS (1KVA) 2 - SETS OF 480:120V PTS 1 - 300KA SPD WITH MODBUS COMMUNICATIONS AND DISCONNECT 1 - PHASE SEQUENCE INDICATOR 1 - SET OF TERMINALS FOR CONNECTION TO REMOTE CONTROL PANEL",4613574,WO-10868-1,1000A SWITCHBOARD 480/277VAC 3P 4W 42KA NEMA 1 INDOOR TYPE,"ELECTRICAL SPECIFICATIONS: DESIGNED AND TESTED IN ACCORDANCE WITH UL/ NATIONAL ELECTRIC CODE / NEMA PB2 � SYSTEM VOLTAGE � 480Y/277VAC 3PH 4W 60HZ � SYSTEM AMPACITY � 1000A � SOURCE DESCRIPTION � MAIN BREAKER / MULTIPLE SOURCES � INCOMING ENTRY DIRECTION � BOTTOM � MAX AVAILABLE FAULT CURRENT (RMS) � 42KA � BUSSING � COPPER (PLATED) � NEUTRAL BUS � 100% � GROUND � INCLUDED � ENCLOSURE � TYPE 1 INDOOR � ACCESSIBILITY � FRONT ACCESS ONLY � SERVICE ENTRANCE RATING � SERVICE ENTRANCE RATED � EXTERIOR PAINT COLOR � ANSI-61 GREY SECTION DETAILS: SECTION 1/4 | UTILITY INCOMING SECTION SECTION 2/4 | OUTPUT CABLE SECTION SECTION 3/4 | ROLL-UP GENERATOR BREAKER SECTION SECTION 4/4 | STACKED GENERATOR BREAKER SECTION BREAKER DETAILS: 2 - 1000AF/1000AT; 600VAC MAX; 100% RATED; 50KA AT 480VAC; 3 POLE; UL; DRAWOUT, ELECTRICALLY OPERATED, ELECTRONIC TRIP UNIT, LONG TIME, SHORT TIME, INSTANTANEOUS, GROUND FAULT CIRCUIT BREAKER TYPE, 120VAC CHARGING MOTOR, 24VDC SHUNT TRIP, 24VDC CLOSING COIL, 4 BREAKER STATUS CONTACTS, MODBUS COMMUNICATIONS 2 - 800AF/600AT; 600VAC MAX; 100% RATED; 50KA AT 480VAC; 3 POLE; UL; DRAWOUT, ELECTRICALLY OPERATED, ELECTRONIC TRIP UNIT, LONG TIME, SHORT TIME, INSTANTANEOUS, GROUND FAULT CIRCUIT BREAKER TYPE, 120VAC CHARGING MOTOR, 24VDC SHUNT TRIP, 24VDC CLOSING COIL, 4 BREAKER STATUS CONTACTS, MODBUS COMMUNICATIONS DIMENSIONS: 108""W X 30""D X 90""H ACCESSORIES/OPTIONS: 1 - 4 BUS TAPPED CPTS (1KVA) 2 - SETS OF 480:120V PTS 1 - 300KA SPD WITH MODBUS COMMUNICATIONS AND DISCONNECT 1 - PHASE SEQUENCE INDICATOR 1 - SET OF TERMINALS FOR CONNECTION TO REMOTE CONTROL PANEL ELECTRICAL SPECIFICATIONS: DESIGNED AND TESTED IN ACCORDANCE WITH UL/ NATIONAL ELECTRIC CODE / NEMA PB2 � SYSTEM VOLTAGE � 480Y/277VAC 3PH 4W 60HZ � SYSTEM AMPACITY � 1000A � SOURCE DESCRIPTION � MAIN BREAKER / MULTIPLE SOURCES � INCOMING ENTRY DIRECTION � BOTTOM � MAX AVAILABLE FAULT CURRENT (RMS) � 42KA � BUSSING � COPPER (PLATED) � NEUTRAL BUS � 100% � GROUND � INCLUDED � ENCLOSURE � TYPE 1 INDOOR � ACCESSIBILITY � FRONT ACCESS ONLY � SERVICE ENTRANCE RATING � SERVICE ENTRANCE RATED � EXTERIOR PAINT COLOR � ANSI-61 GREY SECTION DETAILS: SECTION 1/4 | UTILITY INCOMING SECTION SECTION 2/4 | OUTPUT CABLE SECTION SECTION 3/4 | ROLL-UP GENERATOR BREAKER SECTION SECTION 4/4 | STACKED GENERATOR BREAKER SECTION BREAKER DETAILS: 2 - 1000AF/1000AT; 600VAC MAX; 100% RATED; 50KA AT 480VAC; 3 POLE; UL; DRAWOUT, ELECTRICALLY OPERATED, ELECTRONIC TRIP UNIT, LONG TIME, SHORT TIME, INSTANTANEOUS, GROUND FAULT CIRCUIT BREAKER TYPE, 120VAC CHARGING MOTOR, 24VDC SHUNT TRIP, 24VDC CLOSING COIL, 4 BREAKER STATUS CONTACTS, MODBUS COMMUNICATIONS 2 - 800AF/600AT; 600VAC MAX; 100% RATED; 50KA AT 480VAC; 3 POLE; UL; DRAWOUT, ELECTRICALLY OPERATED, ELECTRONIC TRIP UNIT, LONG TIME, SHORT TIME, INSTANTANEOUS, GROUND FAULT CIRCUIT BREAKER TYPE, 120VAC CHARGING MOTOR, 24VDC SHUNT TRIP, 24VDC CLOSING COIL, 4 BREAKER STATUS CONTACTS, MODBUS COMMUNICATIONS DIMENSIONS: 108""W X 30""D X 90""H ACCESSORIES/OPTIONS: 1 - 4 BUS TAPPED CPTS (1KVA) 2 - SETS OF 480:120V PTS 1 - 300KA SPD WITH MODBUS COMMUNICATIONS AND DISCONNECT 1 - PHASE SEQUENCE INDICATOR 1 - SET OF TERMINALS FOR CONNECTION TO REMOTE CONTROL PANEL",Cost of Sales - Manufactured Product,Assembly/Bill of Materials,,Each,
P-AE0000580,2,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Sally Hellman,Pending Receipt,06/24/2026,09/04/2026,,09/04/2026,1,0,1,44550.00,44550.00,92054,US,Net 30,55390,IC-Allied Power and Control,21076,"WALL MOUNT CONTROL CABINET: �	REDUNDANT COMAP INTELIMAINS CONTROLLERS (WITH CAN EXTENSION MODULES) WITH INTEGRATION TO CONTROLLED SWITCHBOARD LINEUP �	10.1"" INTELIVISION 10TOUCH OPERATOR PANEL (DOOR MOUNTED) �	MULTI-SOURCE CONTROL POWER THROWOVER (120 VAC CUSTOMER SUPPLIED + 4 SWITCHBOARD CPT SOURCES + 3 24VDC ENGINE BATTERY SOURCES) �	ETHERNET SWITCH �	PROVISIONS FOR WIRING TO SITE BMS SYSTEM PRE-WIRED TO TERMINAL BLOCKS LABOR: �	ENGINEERING DESIGN PACKAGE (BOM, PANEL DESIGN, WIRING DIAGRAMS, FIELD INTERCONNECT SCHEDULE) �	CONTROLS AND HMI PROGRAMMING �	PANEL BUILD AND PRE-SHIPMENT TESTING �	PROJECT MANAGEMENT SERVICES �	SYSTEM MANUAL DIMENSIONS: 36""W X 12""D X 60""H",4613574,WO-10868-2,Remote Control Panel,"WALL MOUNT CONTROL CABINET: �	REDUNDANT COMAP INTELIMAINS CONTROLLERS (WITH CAN EXTENSION MODULES) WITH INTEGRATION TO CONTROLLED SWITCHBOARD LINEUP �	10.1"" INTELIVISION 10TOUCH OPERATOR PANEL (DOOR MOUNTED) �	MULTI-SOURCE CONTROL POWER THROWOVER (120 VAC CUSTOMER SUPPLIED + 4 SWITCHBOARD CPT SOURCES + 3 24VDC ENGINE BATTERY SOURCES) �	ETHERNET SWITCH �	PROVISIONS FOR WIRING TO SITE BMS SYSTEM PRE-WIRED TO TERMINAL BLOCKS LABOR: �	ENGINEERING DESIGN PACKAGE (BOM, PANEL DESIGN, WIRING DIAGRAMS, FIELD INTERCONNECT SCHEDULE) �	CONTROLS AND HMI PROGRAMMING �	PANEL BUILD AND PRE-SHIPMENT TESTING �	PROJECT MANAGEMENT SERVICES �	SYSTEM MANUAL DIMENSIONS: 36""W X 12""D X 60""H",Cost of Sales - Manufactured Product,Assembly/Bill of Materials,,Each,
P-AE0000580,3,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Sally Hellman,Pending Receipt,06/24/2026,09/04/2026,,09/04/2026,1,0,1,6600.00,6600.00,92054,US,Net 30,55390,IC-Allied Power and Control,21076,"ELECTRICAL SPECIFICATIONS: DESIGNED AND TESTED IN ACCORDANCE WITH UL/ NATIONAL ELECTRIC CODE / NEMA PB2 SYSTEM VOLTAGE � 480Y/277VAC 3PH 4W 60HZ SYSTEM AMPACITY � 1000A SOURCE DESCRIPTION � MAIN LUG INCOMING ENTRY DIRECTION �BOTTOM MAX AVAILABLE FAULT CURRENT (RMS) � 42KA BUSSING � COPPER (PLATED) NEUTRAL BUS � 100% GROUND � INCLUDED ENCLOSURE � TYPE 3R OUTDOOR ACCESSIBILITY � FRONT ACCESS ONLY SERVICE ENTRANCE RATING � NONE EXTERIOR PAINT COLOR � ANSI-61 GRAY SECTION DETAILS: SECTION 1/1 | GEN QUICK CONNECT SECTION CONNECTION DETAILS: 1 - SET OF INCOMING MALE QUICK CONNECTS (3 PER PHASE/NEUTRAL) 1 - OUTGOING LUGPAD (MECHNICAL LUGS, 3 PER PHASE/NEUTRAL)",4613574,WO-10868-3,1000A SWITCHBOARD 480Y/277VAC 42KA NEMA 3R OUTDOOR TYPE,"ELECTRICAL SPECIFICATIONS: DESIGNED AND TESTED IN ACCORDANCE WITH UL/ NATIONAL ELECTRIC CODE / NEMA PB2 SYSTEM VOLTAGE � 480Y/277VAC 3PH 4W 60HZ SYSTEM AMPACITY � 1000A SOURCE DESCRIPTION � MAIN LUG INCOMING ENTRY DIRECTION �BOTTOM MAX AVAILABLE FAULT CURRENT (RMS) � 42KA BUSSING � COPPER (PLATED) NEUTRAL BUS � 100% GROUND � INCLUDED ENCLOSURE � TYPE 3R OUTDOOR ACCESSIBILITY � FRONT ACCESS ONLY SERVICE ENTRANCE RATING � NONE EXTERIOR PAINT COLOR � ANSI-61 GRAY SECTION DETAILS: SECTION 1/1 | GEN QUICK CONNECT SECTION CONNECTION DETAILS: 1 - SET OF INCOMING MALE QUICK CONNECTS (3 PER PHASE/NEUTRAL) 1 - OUTGOING LUGPAD (MECHNICAL LUGS, 3 PER PHASE/NEUTRAL)",Cost of Sales - Manufactured Product,Assembly/Bill of Materials,,Each,
P-AE0000581,1,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Sally Hellman,Partially Received,06/24/2026,10/30/2026,,10/30/2026,6,4,2,421.60,2529.60,21090,US,Net 30,53151,ComAp *DO NOT USE* (USE ComAp LLC),61073,SKHOTSWAP01  Each serial number gets Modbus and Hot Swap   24260228 24260154 24130078 240200EA 2440099D 244009A6,4614629,Third Party Services,Third Party Services,,Cost of Sales - Services and Solutions,Service,,,07/03/2026
P-AE0000581,2,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Sally Hellman,Partially Received,06/24/2026,10/30/2026,,10/30/2026,6,4,2,579.6975,3478.19,21090,US,Net 30,53151,ComAp *DO NOT USE* (USE ComAp LLC),61073,SKMODBCLI01  Each serial number gets Modbus and Hot Swap   24260228 24260154 24130078 240200EA 2440099D 244009A6,4614629,Third Party Services,Third Party Services,,Cost of Sales - Services and Solutions,Service,,,07/03/2026
P-BL0000582,1,Top Company : PwrQ Holdings : Bretco LLC,,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,01/14/2026,12/31/2026,,12/31/2026,1,0,1,5137321.00,5137321.00,11111,US,Net 30,53114,Echo Electric,60674-5651,69KV SUBSTATION EQUIP,4177454,DS-Medium Voltage Switchgear,Medium Voltage Switchgear,[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,,,
P-BL0000583,1,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,01/14/2026,12/31/2026,,09/30/2026,1,0,1,1238000.00,1238000.00,11111,US,Net 45,127671,Panelmatic,75267-1220,CONTROL BUILDING  57’ L x 16’6” W x 12’ Interior Height Prefabricated Package Control Enclosure,4177458,"DS-Other (i.e. hardware, cables, Pole Mounted Equipment, etc)","Other (i.e. hardware, cables, Pole Mounted Equipment, etc)",[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,Medium Voltage Switchgear,,
P-BL0000583,2,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,01/14/2026,12/31/2026,,09/30/2026,36,0,36,45288.3333,1630380.00,11111,US,Net 45,127671,Panelmatic,75267-1220,"SCADA PANEL  Panel, 90"" high x 24"" wide x 36” deep ",4177458,"DS-Other (i.e. hardware, cables, Pole Mounted Equipment, etc)","Other (i.e. hardware, cables, Pole Mounted Equipment, etc)",[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,Medium Voltage Switchgear,,
P-BL0000583,3,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,01/14/2026,12/31/2026,,09/30/2026,1,0,1,78000.00,78000.00,11111,US,Net 45,127671,Panelmatic,75267-1220,Freight and Offloading,4177458,DS-Freight Included,DS-Freight Included,,Outbound Freight,Non-inventory Item,Medium Voltage Switchgear,Each,
P-BL0000583,4,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,01/14/2026,12/31/2026,,09/30/2026,1,0,1,27000.00,27000.00,11111,US,Net 45,127671,Panelmatic,75267-1220,Site Services,4177458,DS-On Site Services NEW,DS-On Site Services NEW,,Cost of Sales - Services and Solutions,Non-inventory Item,Medium Voltage Switchgear,Each,
P-BL0000586,1,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Jennifer Midkiff,Pending Receipt,01/15/2026,09/04/2026,,09/04/2026,1,0,1,55800.00,55800.00,55038,US,Net 30,82754,EMI Inc.,55441,Lot – Outdoor Switchgear per quote QB-250136,4178910,"DS-Other (i.e. hardware, cables, Pole Mounted Equipment, etc)","Other (i.e. hardware, cables, Pole Mounted Equipment, etc)",[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,,,
P-AE0000587,1,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Sally Hellman,Partially Received,06/27/2026,09/30/2026,,09/30/2026,1,.48,.52,148733.00,148733.00,20147,US,Net 30,52981,A&A TRANSFER,20152,"MEI to provide the following services upon acceptance: Equipment: (1) Alternator - Est 15,000 lbs Scope of Work: MEI will provide Certified Riggers, trucks and equipment (including crane) to perform the following services-- Meet on site and lift (1) Alternator through the roof opening in the generator enclosure opened by others. Once rigged out of the generator enclosure MEI will hoist the alternator onto the ground or a truck provided by others. Once alternator has been rebuilt, MEI will return to site to reinstall alternator through an opening in the roof opened by others. MEI is not responsible for removing/installing the roof panels for the generator enclosure. MEI is not responsible for providing trucking unless asked by the customer",4624437,Third Party Services,Third Party Services,,Cost of Sales - Services and Solutions,Service,,,
P-BL0000590,1,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,01/20/2026,02/10/2026,,02/10/2026,1,0,1,.00,.00,20735,US,Net 30,55390,IC-Allied Power and Control,21076,"SATEC DIGITAL POWER QUALITY METER; PRO-PM335-60Hz-5-ACDC-IOS PANEL MOUNTED, MONITOR VOLTAGE, CURRENT, POWER, FREQUENCY AND ENERGYMEASUREMENTS, COMBINED WITH POWER QUALITYANALYSIS AND DATA LOGGING CAPABILITIES WITH ACCURACY CLASS 0.25",4191180,PROPM33560HZ5ACDCIOS,"SATEC DIGITAL POWER QUALITY METER; PRO-PM335-60Hz-5-ACDC-IOS PANEL MOUNTED, MONITOR VOLTAGE, CURRENT, POWER, FREQUENCY AND ENERGYMEASUREMENTS, COMBINED WITH POWER QUALITYANALYSIS AND DATA LOGGING CAPABILITIES WITH ACCURACY CLASS 0.25","SATEC DIGITAL POWER QUALITY METER; PRO-PM335-60Hz-5-ACDC-IOS PANEL MOUNTED, MONITOR VOLTAGE, CURRENT, POWER, FREQUENCY AND ENERGYMEASUREMENTS, COMBINED WITH POWER QUALITYANALYSIS AND DATA LOGGING CAPABILITIES WITH ACCURACY CLASS 0.25",Cost of Sales - Manufactured Product,Inventory Item,,Each,
P-BL0000590,2,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,01/20/2026,03/19/2026,,03/19/2026,8,0,8,.00,.00,20735,US,Net 30,55390,IC-Allied Power and Control,21076,ABB PLL XT2-XT4 PADLOCKS DEVICE OPEN,4191180,KXTCPLLOP,ABB PLL XT2-XT4 PADLOCKS DEVICE OPEN,ABB PLL XT2-XT4 PADLOCKS DEVICE OPEN,Cost of Sales - Manufactured Product,Inventory Item,,Each,
P-BL0000590,3,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,01/20/2026,02/27/2026,,02/27/2026,1,0,1,.00,.00,20735,US,Net 30,55390,IC-Allied Power and Control,21076,ABB: PLL XT5 PADLOCKS DEVICE OPEN,4191180,KXT5PLLOP,ABB: PLL XT5 PADLOCKS DEVICE OPEN,ABB: PLL XT5 PADLOCKS DEVICE OPEN,Cost of Sales - Manufactured Product,Inventory Item,,Each,
P-BL0000590,4,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,01/20/2026,03/17/2026,,03/17/2026,3,0,3,.00,.00,20735,US,Net 30,55390,IC-Allied Power and Control,21076,ABB: PLL XT7 PADLOCKS DEVICE OPEN,4191180,KXT7PLLOP,ABB: PLL XT7 PADLOCKS DEVICE OPEN,ABB: PLL XT7 PADLOCKS DEVICE OPEN,Cost of Sales - Manufactured Product,Inventory Item,,Each,
P-AE0000593,1,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Nancy Denton,Pending Receipt,06/30/2026,07/31/2026,,07/31/2026,1,0,1,278.55,278.55,21090,US,Net 30,56037,"PowerHouse Generator, Inc.",17349,part# GM96383 - battery charger,4630588,Parts - Spare/Repair Parts,Parts - Spare/Repair Parts,[FILL IN DESCRIPTION],Cost of Sales - Services and Solutions,Non-inventory Item,,,
P-AE0000593,2,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Nancy Denton,Pending Receipt,06/30/2026,07/31/2026,,07/31/2026,1,0,1,75.00,75.00,21090,US,Net 30,56037,"PowerHouse Generator, Inc.",17349,Incoming freight ,4630588,Freight Included,Freight Included,,Outbound Freight,Service,,Each,
P-AE0000595,1,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Sally Hellman,Pending Receipt,07/02/2026,12/31/2026,,12/31/2026,1,0,1,1575.77,1575.77,21090,US,Net 30,53154,Cummins Inc,21061,300-5274 control card,4637097,Third Party Services,Third Party Services,,Cost of Sales - Services and Solutions,Service,,,
